Summary,Text,Score
Hidden Gem,"I grew up southside Chicago. Andersonville (where Guesthouse is located) is a hidden gem! The Guesthouse was lovely - friendly, clean with uber comfy beds! Parking was easy & convenient. Staff was beyond helpful even with securing babysitter! No need to travel away from area for food - great local spots - Bar Roma was phenomenal! The shops were super fun. Lincoln Park ridiculously close & the zoo has had many updates since I was last there!",5
Return to Chicago after many years,"After more than 25 years away we had a weekend getaway to Chicago. We loved the Guesthouse Hotel. The new, clean, Suite style room was excellent. Clean, well furnished with supplies. The staff was friendly and very helpful in accessing transportation and finding the local hotspots",5
Wonderful Staff in a beautiful hotel,"What a great experience, staying here. Had a jacket button issue 10 minutes before leaving for a wedding; front desk provided everything needed. Consistently helpful and informative. Lovely condo-style room, and a really great bathroom. Walking distance to so many things, including the train station to easily get into Chicago. I'd stay here again anytime!",5
Perfect for family get together,"We had two 2-bedroom suites for our family of seven (including one toddler) who were arriving from 3 different cities for a family wedding. The space and amenities were phenomenal. The kitchen is fully equipped and you're able to cook a quick breakfast or snack, or eat your carry-in on real plates. They provided not only a crib (expected, of course) but also a high chair, stroller, toys, books, and a baby monitor! Really saved the hassle of traveling with a baby! The staff members were all very friendly and accommodating. The rooms were nicely furnished and spacious; the bathrooms were well appointed. My only (small) disappointment was that there are no TV's in the bedrooms--only one TV in the living room. Having a parking garage on premises saved the worry of on-street parking. All in all, a GREAT place to stay with a family. The price was fair for all they had to offer.",5
"A great, clean place to stay.","We stayed at The Guesthouse while our Condo was being renovated due to water damage. The staff was very friendly and courteous, and went out of their way to make us feel at home. In addition, staying at the Guest House offers you a homey feel away from home instead of feeling like you are staying in a hotel. Highly recommended.",5
Weekend Escape,"Our stay at the Guesthouse could not have been more perfect. The suite was gorgeous, modern, fully stocked and immaculately clean. The mood and atmosphere of the hotel allowed us to completely relax and enjoy our time together. The staff was friendly, responsive and available. There are a variety of types of cafes and restaurants within walking distance. Perfect location. Perfect hotel. Perfect escape. We definitely plan to return as often as possible.",5
BEST HOTEL EVER!!!,"The Guesthouse by far is the best hotel we have ever stayed at. It truly is a home away from home. Every part of our unit was immaculate, from the bathrooms with luxurious towels to the beds that were amazingly comfortable. The staff was very friendly and welcoming. Can't wait to go back!!!",5
Definitely will stay here again,"My family has visited Chicago regularly for the past five years, staying in several centrally located hotels, all very fine and with great amenities. But,The Guesthouse is definitely at the top of my list. We stayed four nights in a 2BR/2 bath unit which was super spacious and gracious. And the hotel is conveniently located, with nearby shops and restaurants and an easy walk to public transportation. Stay here and live like a local, it's so much more enjoyable!",5
Stay like a local!,"This isn't a hotel, it's a home. We were all charmed by our 3 bedroom unit. I loved the kitchen, with the Jenn-aire appliances, and amazingly well appointed kitchen. Garlic press? Yes, please!",5
The best hotel in Chicago,"I have stayed at a lot of really nice hotels in a lot of different cities and this one was by far the best. I stayed there with my mother, daughter and three dogs. The staff and the owner were so amazingly friendly and accommodating and made us all feel right at home and welcome. A staff member even brought up dog beds and dog food bowls for my dogs. The kitchen was fully stocked with everything I could need to cook with and serve dinner with for worry free cooking and cleaning up after. You can even have groceries or restaurant food delivered to your suite. The living room was comfortable and elegant. The bedrooms we are so comfortable and so wonderfully decorated I never wanted to leave. The area that the hotel is located in was very Chicago and I felt like a Chicagoan. It's pricey but worth every penny. I will stay there every chance I get. Loved it! Loved it! Loved it!",5
"Great location, helpful staff","We stayed in one of the two bedroom units for four days. The location was great - walking distance to a number of unique shops, restaurants, grocery stores, and easy access to public transportation and freeways. The room was immaculate and nicer than the photos. I had a few issues figuring out the DVD player and washing machine, but a call to the front desk and, within minutes, someone was there to help me out. The library was stocked with movies, books and games - a nice option when staying in at night. The only thing we didn't love was the couch - since it is also a sleeper sofa it was a bit uncomfortable to sit on.",5
Home Away from Home! Full Service Boutique Hotel,I was pleasantly surprised by the amenities and the style in this full service hotel. They had everything that anyone could hope for including a garage with an opener! I booked it because of the price and location not realizing what a gem of a property that we would be staying at. The staff was friendly and very helpful. It was extremely clean and well stocked. You could stay for a night or move in for an extended period. We were extremely impressed.,5
Outstanding,This is probably one of the best places I have ever stayed in.,5
It's simply the best -,"Shelter - a word sometimes used carelessly, without thought or consideration of its basic and true meaning. Where would we be without it? Do yourself a favor: stay at The Guesthouse on your next trip to Chicago. You'll be delighted at the small but unique gift shop in the lobby. You'll be treated like a cherished guest by the staff, and you won't believe how amazing the guest suites are! It's like walking into a beautifully appointed apartment. You'll notice the special touches. This is my third or fourth visit, and I'm still surprised how wonderful this thoughtful shelter really is. Surprised and grateful.",5
Hidden gem,"We stayed for a couple of nights in March 2017. We really loved the 2 BR/2BA apartment. It was clean, updated, and had everything that one would need for a one or multiple nights stay. The location worked perfect for us, as it was within walking distance of the Aragon Ballroom, where we were going to see a concert. There were plenty of restaurants and coffee shops close by as well.",5
Wife Birthday Trip,The hotel really is amazing. Great style and beautifully decorated. We got upgraded to a 3 BR and the amount of space was unbelievable. Everything is updated and modern and it was a great place to stay. Probably one of the nicest hotels I have ever stayed at. And with the cost of public parking it was awesome to have a garage space! Especially when we got 6 inches of snow while we were there.,5
A Place to Call Home,"This is a lovely hotel. The staff is warm and inviting. The accommodations are top tier, and the beds are great, especially after an evening of dancing. Loved the lobby coffee service, and the local gifts made picking something up before we left to come home very easy. Not native to Chicago - but it seemed the hotel's location made it really easy to get around, and it is an easy walk up to Andersonville shops and restaurants.",4
Continued living like a local,"Our second visit - equally as enjoyable as the first! Enjoyed the accommodations, great staff and proximity to the local neighborhood. Andersonville is just up the street and filled with shops and great spots to grab a refreshment or meal.",5
Exceeded every expectation!,"I would 100% recommend The Guesthouse for anyone looking for an extended stay or even for a couple of nights. Gorgeous hotel, friendly staff and DOG FRIENDLY!",5
Peaceful refuge in Chicago,"The Guesthouse Hotel is an immaculate, peaceful, beautifully appointed hotel. The beds are very comfortable and the suites are very spacious. There are many great restaurants within a short walk (try Bar Roma for great Italian, especially their meatballs!) and there's a spa next door. Great value and very nice people. Though it's relatively small, someone is at the front desk 24/7. I highly recommend staying here.",5
Felt like home,"This hotel definitely made me feel at home, which was perfect for my wife and 1 year old. The service was great, and all of the staff was very helpful and friendly. The room was very nice, clean and very quiet. The location was also great in my opinion, it was far from the commotion of the city, but walking distance from a couple of places to eat.",5
Just Like Home,"I stayed at The Guest House for a business event. I rented the two -bedroom suite plus parking. It was great from start to finish. My room was clean and very comfortable. The space is perfectly arranged. There was a full service kitchen with microwave, fridge, dishwasher, and even a few glasses and dishes just bring your own wine cork tool :). Everyone was SUPER helpful in recommendations for local restaurants and entertainment. It seemed as though they really enjoyed their work. Even as shifts changed the entire staff is amazing. My only regret was not staying for the entire weekend. I will definitely visit again and hope to have the same great experience.",5
Amazing space-better than home!,"We enjoyed our stay in the 3 bedroom suite for 2 nights. We had a great experience and appreciated the accommodations made by the attentive staff at the guesthouse hotel. We hosted a staff retreat with out business coach and having a clean, beautiful and calming atmosphere made the most out of our planning retreat. The kitchen and living areas were great to save on eating out- and allowed us more time to plan. The bedrooms and bathrooms were luxurious. We highly recommend for any upcoming stay! Personal, business, out of town family. Thanks again!!",5
Unique Chicago Home-Like Stay,"I had my wedding in The Guest House hotel lobby in addition to staying at this lovely abode the weekend of my wedding. The whole staff was a pleasure to work with. They ensured everything was prepared for my ceremony in advance. They also made sure our stay was comfortable. Our room was immaculate and had a very home-like feeling to it. The whole place was stocked with plates, dishes, and anything you could ever need. It included all the life necessities which made for a very comfortable stay.",5
"I had the most enjoyable stay at the Guesshouse Hotel The amenities perfect the bedrooms are spacious the kitchen and living room area was fantastic I really enjoy the fire place,even a balcony so I can see the city The staff was very friendly and helpful and I can't wait to return to Chicago to stay there again!",,5
A great experience,"When I travel for vacations, I prefer to rent condos or houses. It was so nice to find a hotel that offers the condo living at hotel pricing and availability. The staff was super easy to work with and really seemed to care that our experience was perfect!",5
andersonville great spot,"Found this as a place that was close to The Green Mill, where we were seeing Jazz Legend Sheila Jordan that evening. It was a short walk past a scenic old cemetery to the club, and Andersonville had much to offer, in Coffee / Tea (La Colombe), dinner (Vincent) bakery (deFloured), and a terrific street vibe. We parked the car on arrival and walked everywhere.",5
Guesthouse Hotel,"This is a fabulous property. The room was outstanding, the employees bright and friendly, and the location was great. The price was good for a Chicago hotel and the optional parking was worth it. The Andersonville area is filled with restaurants and bars and is a good alternative to staying downtown. In summary, i would recommend this option without reservation.",5
"We took our toddler and his 2.5 year cousin, along with my sister and brother in law to a family wedding. The was the PERFECT place for everyone! The kitchen and furnishings were spectacular. The staff was amazing and made me feel welcome by touting my employer Zingerman's!!!",,5
Very spacious NEW condo size hotel!,"Stayed here at the NEW gueathouse hotel in Chicago with my girlfriend and parents. Good location about 10 minutes from the heart of downtown. Very modern with amazing space. All hardwood flors, balcony, fireplace and massive shower with a rainfall shower head in the middle and 2 more shower heads on each side. The street you stay on has at least 10 bars and restaurants to choose from. If those aren't your cup of tea downtown area is super close. There is free parking right down the street which is super nice to find in the city. If not you can pay $20 a night for a garage right behind the building. The only reason I do not give this hotel 5 stars is the hot water runs out quickly and if you do not stay on the top floor you can hear the people above you make every move in their room above you... Besides those 2 minor things this place is beautiful and makes you feel like your staying at your own home. Would deffiently stay here again!",4
"It was wonderful! Clean, convenient, all amenities are easy to use with well written instructions. Beautifully furnished with friendly staff. Enjoyed the stay very much.",,5
A perfect place to stay,"You won't find a better place to stay in Chicago. I promise you that. My wife and I traveled from Boston to visit my son and daughter-in-law and our new grandson. I wanted to be close to their home in Ravenswood. I thought The Guesthouse would be convenient. But, really, it's the nicest place I've ever stayed in Chicago. Far more comfortable than the typical Chicago business hotel. Infinitely nicer than the typical bed and breakfast. Rick, the general manager, is a great guy. Very hands-on. Very helpful and kind. He's a true gem. And so is his place.",5
Amazing!,This was our first vacation as a couple and so I wanted to do it right. Upon thorough research I discovered this place and the reviews were so amazing that I figured I might as well book it.,5
First Class gorgeous and cozy Hotel,"This was the first time I booked our team of 26-males in condo-type hotel rooms, they loved it! A great option if you are attending any sporting event at Loyola Chicago, only a 12 minute drive. The Guesthouse offered us spacious rooms equipped with everything; a courteous and helpful staff and a quaint neighborhood with plenty of restaurant options. Mariano's grocery store is very close for grocery needs. We hope to return again soon so we can stay at the Guesthouse again!",5
Stayed here the night cubs won world series!,Very spacious room--actually it's a studio apartment. Would be great place for a longer stay. Complimentary coffee. Beautiful building. Friendly staff. Comfortable bed and nice furnishings. Not in the most convenient location but not too far either.,5
Fantastic Hotel,"I was going to a concert with friends at the Aragon Ballroom on 12/30 and we needed a place close to the venue to stay the night. We had a group of 6 and the two bedroom suite we booked at the Guesthouse ended up being impeccable. Fantastic staff, room and amenities. I was able to keep my car in a garage for a very reasonable rate with my own personal clicker which is a fantastic touch and took the worry of where to keep my car away. I would highly recommend this hotel to anyone else and I myself will certainly stay there again.",5
You will feel like the owner of a luxury apartment in Chicago.,"We stayed in the three-bedroom suite and were AMAZED at how spacious and beautiful it was. It was wonderful to have a ""home"" to return to in Chicago -- complete with upscale kitchen, fireplace, dining area, and a master shower that became a steam room with the press of a button. We chose to park there as well, and were given a private garage with a garage remote. We also choose to attend afternoon tea during our stay, and loved the individual attention and delicious food. I cannot recommend this property more enthusiastically.",5
Loved our family stay,"We were 6 adults staying Thanksgiving week. It was our first trip to Chicago and friends had recommended several upper end hotels, however, I found Guesthouse on Trip Advisor. I debated with myself for days when I finally decided to give the Guesthouse a try. I'm SO glad I did! This was perfect for our family. We had a 2 bedroom/2 bath deluxe room. I had also reserved a 1 bedroom/1 bath and was pleasantly surprised to find we were upgraded to another 2 bed/2 bath. Our deluxe room had wood floors throughout, a gas fireplace, laundry room, large master suite w/walk-in closet, living area and kitchen. It was extremely spacious and the perfect place for our family of 6 to spend time together when we weren't out in the city. The kitchen was very well equipped and we were able to cook a very nice breakfast Thanksgiving morning. One of my favorite features was the shower in the master bath. There are multiple shower heads and steam. What a luxury and quite the treat in the cold weather we had. There are plenty of shops and restaurants in the Andersonville neighborhood - all within walking distance. We were about 15 minutes from anywhere we wanted to go. There is on-site reserved parking in case you have a car which is a very nice feature. The staff at the front desk was always helpful and made great recommendations to us for shopping and eating out. I LOVED having my own apartment, especially since we were there for a week. I very much look forward to returning to Chicago and I wouldn't even look anywhere else. I will be back at The Guesthouse!",5
You wish your best friend or fondest relative treated you like this!,"Amazing! We have stayed at the Guesthouse Hotel off and on over many years and we have always enjoyed (not a strong enough word) our visits. The facilities and room are outstanding and the care and warmth of the management and staff are beyond expectations. We look forward to our visits there, not only because this location is convenient to the family we are visiting and EVERYTHING else in Chicago, but also because it feels like we are on a special vacation retreat. Excellent rooms, excellent staff service, special efforts to accommodate our extra needs to care for our dog and visiting toddlers, convenient location to great local food, shops, etc and greater Chicago locations and we always feel comfortable staying here.",5
wish we lived here!,"From the minute my wife and I walked into the Guesthouse Hotel, we felt at home. We kept saying to each other in amazement, this place is perfect! We wish we lived here! This hotel has thought of everything, and offers spacious, comfortable, very well-appointed ""rooms"" that are more akin to luxury apartments, but with all the benefits of a hotel. Notably, this includes the staff, who could not be nicer or friendlier. I wish the Guesthouse Hotel existed in my city---I would move in! Thank you for everything!",5
Beautiful place and great staff,"The guesthouse hotel is a beautiful place, centrally located and provide a great home away from home for our group of 7 ;) the staff was on top of any and all requests. Loved the steam shower and the robes were delightful (my husband wants one for xmas). Thank you for making our stay a pleasurable one!!!",5
You really CAN live like a local!,"Stayed four nights with our three year old daughter. Our 2BR/2BA suite was really a spacious modern apartment with full kitchen, full size washer and dryer, and even a gas grill on the balcony! Staff were all uniformly friendly and helpful. The bodega up the street was a great resource, as was the Mariano's Fresh just a mile or so away. This place is a fantastic value at around $200/night plus tax. We are planning our next stay soon. Do be aware, though, that you don't get daily maid service, there is no concierge, no restaurant on site, no bar. For us, this trade-off was a no-brainer: by staying here, driving 25 minutes in the morning, and paying $20 to park, we were able to attend our meetings at Rush and didn't pay $379/night for a two-queen room in a chain hotel in a sketchy neighborhood. All the comforts of home, and a bargain to boot!",5
Last minute stay,"I made a last minute decision to get a hotel room. I did not want to stay downtown as I usually do. I called them up and they had a few rooms left and had a special that was good for the area. Every employee I met during my visit did an excellent job. The room is really a two bedroom condo with two bathrooms, a washer/dryer, and a full kitchen...Parking was a real garage and they made room for my full size truck...",5
Siempre volvería,"Alquilamos un apto para cinco personas, es un lugar muy limpio bien mantenido, bien puesto con facilidades para los visitantes , no es ruidoso , la cocina bien equipada. El lugar para dejar el coche de muy fácil acceso al dpto.",5
Beautiful stay in a lovely neighbourhood.,I stayed here with 2 other work colleagues. We were blown away at how wonderful the apartment suite was set up. We had plenty of room for each of us do our work and have time to ourselves after a long day of training. The staff was so helpful. Great little boutique in the lobby. I will come back with my family. So many neat shops and restaurants in the area to explore!,5
A great place to stay and feel like you are part of the neighborhood,"This was our first, (but definitely not our last) visit to the Guesthouse Hotel in Chicago. While this hotel is not near the loop or downtown, it is in a great northern Chicago neighborhood (Ravenswood) and is easy to reach all Chicago destinations via public transportation which is within walking distance. The hotel is immaculate and the rooms are spacious and have the feel of a fully furnished apartment, rather than a standard hotel room. The hotel is very quiet at night and easy to fall into a deep and restful sleep. All of the rooms in our suite were clean and ready for our three night stay. I could have easilty stayed for a month. The suites have fully furnished kitchens and laundry facilities, although we did not utilize them during our stay.",5
Amazing,"This place is top of the line. It is the definition of luxurious. If you're looking for a place to treat yourself, this is it. The staff is very friendly and helpful. They are willing to make any food or entertainment recommendations. The rooms are very spacious and clean. The design is very modern.",5
فندق رائع,اسعدتنا إقامتنا في هذا الفندق ،الخدمة ممتازة والموظفون متعاونون جداً، الجناح واسع والاثاث انيق وبه غسالة ملابس ومجففة ملابس وبه وفي الشرفة يوجد مرافق شواء، الواي فاي مجاني، وموقعه قريب من شاطئ مونتروز بيتش على بحيرة ميشيغان.,5
Outstanding,"Our stay here has been incredible !!! We could not possibly be more satisfied. Our two bedroom two bath suite was beautiful as is the entire place. The staff is welcoming,knowledgeable and friendly and the property is spotless. The neighborhood is safe and has incredible stores, boutiques, restaurants, and bars all within walking distance. The rooftop garden is wonderful and the views of the city are super. If your looking for the best of the best look no more ! Do yourself a favor and book one of their many luxury suites.... you can thank me later :) We are already planning our next trip back !!!!",5
Perfect for a family,The staff are friendly and thoughtful. I called the day before I arrived and asked about gluten free restaurants. They told me there were good choices and they had a list. I did not ask for the list but I received an email before my arrival with a breakdown and personalized review. I had a 3 bedroom and the space was huge. The apartment was spotless and well laid out. We tried several of the neighborhood restaurants and there were all good...and it is super nice to walk around. I would certainly stay here again.,5
Excellent facilities for large groups or families,"This is a great hotel/airbnb type place. No day to day maid service, and no room service. But in exchange, you get a spacious and elegantly appointed apartment, including a kitchen fully supplied with pots, pans, bowls, dishes etc. (Note that if you plan to cook, you will need to get virtually all spices, oils etc.) We had a 3 bedroom and it was very nice. The hallway bathroom had a deep jet tub. The master suite had a double headed shower plus a steam option. (Hard to keep my nephew out of there.) And with the size and privacy - we were able to flex and have friends stay over one night, as well as hosting family from Ohio for a couple of nights. Plus, the neighborhood is great. We lived in Andersonville in the early 2000s, and loved it then. It has slightly gentrified, which just translates into more restaurant options and a better wine store. We would stay here again without hesitation. My one nit/comment is that if you plan on working remotely, bring a device (hotspot, myfi etc) with you as the internet here cuts in and out and really can't support a link to a portal (which I have to work through). I was prepared for that, and brought two alternative wifi devices, so no issues. But the wifi worked fine for an ipad (including streaming), so should meet most needs.",5
Couldn't have asked for more,"I could not have imagined how great this hotel would be. The staff was just amazing. The room could not have been any better. I don't write reviews unless they are negative, until I stayed at Guesthouse Hotel. We were at this hotel for 4 nights, 5 days. I would not have changed a thing. Not just having a great room, but having a great staff. I would highly recommend this hotel to anyone, and they really take their motto of live like a local seriously. Anything that you could want from a vacation to Chicago, is accessible from here, and the staff is always willing to give their, in my opinion, expert advise on how to get to where you want to go. If you stay anywhere in Chicago, I wouldn't stay anywhere else other than here. I will definitely be back.",5
Amazing Hotel,"Can't say enough about it! It's a beautiful boutique hotel with all the amenities you can ask for. The rooms are gorgeous, there is an amazing rooftop perfect for enjoying a cocktail, it's in a fun / local neighborhood with tons of restaurants within walking distance and you can easily get on the El if you want to head into the city. It's perfect for families and/or those who want more than one bedroom in their hotel.",5
The very best in accomodations,We recently stayed at The Guesthouse Hotel in Chicago. It is perhaps the nicest Boutique hotel we have ever had the pleasure of staying at. We were upgraded at check-in to a huge two-bedroom unit. The apartment is enormous and beautiful in its,5
Best hotel experience,"I have stayed at many hotels in N. America and Europe for work and pleasure and this was my favorite experience so far. I wish I had gotten names of staff from recent stay (Oct 28-30, 2016) because the staff on our first night was truly exceptional. Our ""room"" was enormous, beautifully appointed and incredibly comfortable. We were in Chicago to enjoy the Cubs World Series for my boyfriend's birthday. We arrived too late Fri. For the goody bag give away that included a t-shirt, cookie and other Cubs swag but enjoyed the treats the hotel provided including wine and beer for a tailgate party. Hotel is in a great neighborhood north of Wrigley with easy access to public transportation and great restaurants. I cannot say enough good about this truly lovely hotel. A great bargain in a great spot with exceptional service. You won't be disappointed and I cannot wait to get back!",5
Live like a local & WALK TO WRIGLEY FIELD!!!,"We stayed at the Guesthouse Hotel last weekend. I can't say enough about this hotel! It was extremely clean and comfortable. Very well appointed. Our ""room"" was large, two bedrooms, two baths, full kitchen with a nice balcony & a gas grill. The staff was very friendly and helpful. The rooftop patio was a great place to enjoy a morning cup of coffee and look out over the city. The best part for us was that we were able to walk to Wrigley Field, it was a 15 minute walk and felt very safe. Also, the hotel is on the edge of Andersonville, so the Swedish Bakery was less than 5 minutes away. Giordanno's Pizza was across the street from the bakery so there was no shortage of Chicago dining! Great find on the north side of Chicago!!!",5
Gorgeous space. Cool Neighbourhood.,Gorgeous space and close to a cool neighbourhood. The apartments come with a full sized kitchen and are very spacious. The decor is elegant. The lobby staff are friendly. I'd definitely stay here again.,5
Peaceful stay,"I arrived here and was greeted by Jeremiahs(sp). He was very helpful about Chicago as it was my first time here. Later I met the GM who was just as gracious and warm. The hotel lobby provides a security entrance which I appreciated as well as guest parking garages. The lobby is very nicely decorated and the rooms truly reminds you of home. My room was clean and stocked with glassware, kitchen utensils, etc. I thoroughly enjoyed the rooftop view as well. I also liked their snacks! Made with quality ingredients and they support their local Chicago grocers and businesses. The peace of mind I had staying here was priceless and I would highly recommend anyone to lodge here.",5
Extended Stay,We ended up at the Guesthouse for two weeks because of pervasive water damage to our condo. The Guesthouse was the only reasonable option that was dog friendly. So I thought it would be a reasonably nice place while we were going through a rough time. I was wrong...it was an incredible experience.,5
Not Just a Cubs' Game Visit,"Aside from The Guesthouse Hotel's superb and spacious room accommodations which left our group of 6 feeling at home with a 2 bedroom, 2 bath suite, it has a great location. We love to visit Chicago to see a Cubs' ball game, enjoy the local food and simply experience the city and it's people. The Guesthouse location accommodated all our needs. The Guesthouse is located on a bus line that has a direct route to Wrigley Field. For evening entertainment, it is walking distance from a variety of restaurants offering several cuisines. While on a neighborhood walk one day, we encountered a community vegetable/herb garden and a local resident who was enthusiastic about sharing the particular details of the garden's operations.",5
Love this place!!!,"My husband and I came to Chicago for a Cubs game (Go Cubs!). We have been to Chicago several time and always stayed somewhere around Michigan Ave. We wanted to check out some new neighborhoods. This place is perfect for a family. We had a 2 bedroom (no one-bedrooms were available; my fault for waiting so long to book). The unit is basically an apartment. Very well appointed, 2 bathrooms, full kitchen with everything you need to make your own meals if you want to. There was access to the bus right in front of the hotel. The L was a few blocks away and it was very easy to get a taxi right out front of the hotel. Staff was very good about giving info on restaurants and things to do in the area. Very beautiful, peaceful place to stay. And roomier and cheaper than Michigan Ave.rooms and suites We will be back.",4
Great place for a family trip,"The 3 BR suite was luxurious, and lovely. It gave 4 of us plenty of space to get together and be apart. It is about 25 min ($18) by Lyft to the center of the town. Staff is great. Neighborhood is safe, but not scenic. Laundry machines are in the suites.",5
Way More Than Pet Friendly,"This hotel was too good for my dog! It is a beautiful property,impeccably maintained and with a staff that will do anything to make you comfortable. It is in the funky-cool little town of Andersonville with many unique restaurants. clubs and shops in walking distance. A treat bowl greets you and your pet in the lobby to the side of which is a very well-appointed sitting room where you can relax, watch TV and sip the fine coffee put out for you. The room is more like a nice apartment with full-size stainless appliances, and ceramic plates, cups, glass ware and flat ware. They had a very clean dog bed and bowls awaiting us when we entered the room. You can even park for free at the curb right in front of the hotel at night. The neighborhood is very safe. I LOVED this hotel and will be back to it when I visit my son at Loyola - with or without my dog.",5
Above and Beyond!,"We can't say enough good things about the staff at The Guesthouse Hotel. They went way beyond what we have experienced elsewhere in meeting the needs of my husband who has mobility challenges. They made sure we had everything we needed to make our weeklong stay comfortable and safe, including finding a suitable suite with a bed the right height, a bath with an adjustable shower head, and a suite with hallways wide enough to accommodate his wheelchair. And they did it all with good grace and humor. The suites are well equipped and nicely furnished with everything needed for a home away from home, including in suite laundry facilities and great take-out options when we didn't want to cook. The hotel itself is in a prime location in Andersonville for anyone needing a Northside location close to the Lake. We are hoping to return next spring and to bring one of our sons and his family. The only adjustment we would suggest is to install a wheelchair button on the rear doors to the parking area. The doors are very heavy and tend to swing closed, making it difficult to maneuver the wheelchair out to the parking lot. Other than that, The Guesthouse Hotel and its friendly staff get the highest of high marks!",5
Fabulous!,"We did a getaway weekend with very close friends but still wanted our privacy when it came to sleeping. This hotel (more like your personal condo) was the very best choice for us, as each of us had a two bedroom and bath but could still gather in each other's living rooms for a glass of wine or two after a long flight or a busy day sightseeing. We were on the same floor and unlike the long hallway usually found in hotels, our rooms were very close to one another because of the way these hotels are designed. Loved it! Also, super modern and sleek and clean.",5
Highly recommend staying here,"I stayed at the Guesthouse Hotel from mid-July until the end of August and had a wonderful experience here. The staff were incredibly friendly and it felt like home. I was studying for my medical boards and they made sure that I had a comfortable stay (and even helped celebrate when I received passing results!). With a great location, friendly staff and beautiful rooms (with the most comfortable bed I've ever slept in in my life), it made my stay unforgettable. Thanks to everyone at the Guesthouse hotel!",5
Great stay at the Guesthouse,We travelled to Chicago for the Pearl Jam concerts at Wrigley Field and couldn't be happier with our stay. 3 couples plus an infant was very comfortable for all parties. The master bedroom was huge and had a massive bathroom. The Guesthouse now has a rooftop patio with a great view of the city. The staff was very accommodating and couldn't have been friendlier. The location is in a very unique neighbourhood close to many restaurants and shops. It is within walking distance (albeit a long one) to Wrigley (about 30 minutes) or a very cheap and quick cab away. Cab downtown ran us for about $25. Would recommend the Guesthouse to anyone and we are definitely hoping to get back someday! Thanks for a great stay!,5
Absolutely would stay here again...,"The Guesthouse Hotel was absolutely amazing! We stayed in a 3 bedroom condo along with two other couples and our young daughter. There was plenty of room and living space. We were travelling with our baby and appreciated that the hotel provided us with a pack and play, stroller, baby monitors, bathing kit, and a feeding kit. The kitchen was fully stocked for cooking and we took advantage of eating on both our balcony and the rooftop patio. The neighbourhood has many restaurants and shops and I felt perfectly safe taking early morning walks with my daughter. North Clark is a busy street so taxis were readily available and cost about $25 to downtown. The staff is very friendly and accommodating. On our last day, we checked out but were able to store our luggage at the hotel and borrow the stroller while we went on one last tour. I would not hesitate at all to stay here again in the future and recommend the Guesthouse to others.",5
"We loved our stay at The Guesthouse Hotel. Not only were the accommodation luxurious and cozy but thanks to all the child friendly details (travel cots, baby gym, bath toys, baby monitors, children's cutlery etc) our two little ones felt at home in an instant. We enjoyed our dinner on the roof terrace and all interaction with the super friendly staff.",We can only recommend this place - the best place to stay with a family in a great neighbourhood in Chicago. In walking distance to the red line and the metra if you'd like to explore further.,5
Wonderful hotel for a wedding party,"Our niece got married in an all-Andersonville affair. Family and friends were invited early to reserve at The Guesthouse Hotel. It was perfect, with flexibility for one, two or three bedrooms. The Guesthouse is close to downtown and near north neighborhoods so we loved the location. The apartments are beautiful. Well appointed and decorated. We had the good bye brunch in the lobby and on the rooftop deck, which was a perfect cap to a lovely weekend.",5
Much like a high-end condo...,"Stayed in Room 211 - spacious 3-bedroom, two bath, full kitchen - while attending son's wedding with Hallie Borden, owner of nearby Milk Handmade on N. Clark. Slept like a log. Entertained other family members also staying at The Guesthouse and other nearby rooms in our dining and living areas. Watched the Olympics on the large flat screen. Staff was attentive and accommodating, particularly when we ran a bit past departure time. Secure parking was a bonus. AND, we utilized the rooftop party areas with their terrific views of the Chicago skyline!",5
Very comfortable but...,"We stayed at the Guesthouse hotel for 3 nights and found it really comfortable and well equipped. We liked the location as well, because we like visiting local neighbourhoods not just follow tourist tracks. There is a lovely breakfast place nearby called Bongo Rooms which I'd recommend. All would be perfect if it weren't for the fact that, on the night before our departure we booked a taxi to the airport for the following morning and.....the person who was on Reception that evening simply forgot to book one!!!!!!!! We ended up booking and Uber which worked well but I just cannot understand how this could have happened...",4
second visit,i found the guest house to be just as delightful a place to stay the second time as i had the first. the staff are very efficient and cordial. they are available but not intrusive during your stay.,5
Always a pleasant stay!,"We stay at the Guesthouse Hotel whenever we visit our family in Chicago and it's always amazing. We have stayed with our toddler, groups of family and friends, and alone as a couple. The staff is accommodating and friendly, the rooms are clean and well-stocked, and the location is convenient to all that we are looking for. Overall, one of the best hotel experiences we have ever had, and consistently so.",5
Wonderful Hidden Gem!,"We booked this property for three nights and were pleasantly surprised when they upgraded us to a 2 BR/2Bath apartment! They also provided secure, garaged parking with an electric vehicle charging station. Staff was customer focused and helpful with recommendations for food and entertainment options. Although we didn't take advantage of the fully stocked kitchen, if you want to do cooking or grilling, they have the equipment you'll need. Extended stay options here make this an excellent choice for longer term accommodations as well. We would definitely stay at The Guesthouse Hotel again!",5
A Home Away From Home in Chicago,"I was tasked with planning a reunion in Chicago with three sorority sisters. We hadn't all been together in eight years, so we had a lot of catching up to do. Separate hotel rooms with no place to congregate just wouldn't do, so I was thrilled to find The GuestHouse Hotel, which offered three bedroom, two bath luxury condominium accommodations, with a gorgeous great room area where we could comfortably chat, cook, and share a meal at all hours of the day and night.",5
Another reason to LOVE Chicago,You might not care that my name is Benjamin Eckstein...,5
